36.0
         127901 function calls (126409 primitive calls) in 0.215 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.007    0.001    0.249    0.050 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:329(CDLL)
        5    0.000    0.000    0.010    0.002 __init__.py:346(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:347(Formatter)
        5    0.000    0.000    0.000    0.000 __init__.py:356(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:358(BoundArguments)
      135    0.000    0.000    0.000    0.000 __init__.py:372(__getattr__)
        9    0.000    0.000    0.000    0.000 __init__.py:376(__getattr__)
      135    0.000    0.000    0.000    0.000 __init__.py:379(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:38(_RouteClassAttributeToGetattr)
        1    0.000    0.000    0.000    0.000 __init__.py:385(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:391(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:394(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:403(HRESULT)
      156    0.000    0.000    0.000    0.000 __init__.py:409(__setattr__)
        1    0.001    0.001    0.004    0.004 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:416(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:425(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:426(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:429(__getattr__)
        1    0.002    0.002    0.010    0.010 __init__.py:44(<module>)
        2    0.002    0.001    0.007    0.004 __init__.py:45(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:455(Signature)
        2    0.000    0.000    0.000    0.000 __init__.py:47(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:483(_get_mixins_)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:490(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:491(CFunctionType)
        1    0.004    0.004    0.011    0.011 __init__.py:5(<module>)
      429    0.000    0.000    0.000    0.000 __init__.py:50(__get__)
        1    0.000    0.000    0.000    0.000 __init__.py:503(BufferingFormatter)
        8    0.000    0.000    0.000    0.000 __init__.py:530(_find_new_)
        1    0.000    0.000    0.000    0.000 __init__.py:54(_ensure_llvm)
        1    0.000    0.000    0.000    0.000 __init__.py:545(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:582(Filterer)
        1    0.000    0.000    0.000    0.000 __init__.py:587(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:6(<module>)
       57    0.000    0.000    0.000    0.000 __init__.py:62(_is_descriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:656(Handler)
        1    0.001    0.001    0.013    0.013 __init__.py:7(<module>)
       88    0.000    0.000    0.000    0.000 __init__.py:70(_is_dunder)
        1    0.000    0.000    0.000    0.000 __init__.py:71(ProcessError)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:74(BufferTooShort)
        5    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:76(__PackageSupportBuildPath__)
        1    0.000    0.000    0.000    0.000 __init__.py:77(TimeoutError)
       79    0.000    0.000    0.000    0.000 __init__.py:78(_is_sunder)
      429    0.000    0.000    0.000    0.000 __init__.py:782(value)
        1    0.000    0.000    0.000    0.000 __init__.py:80(AuthenticationError)
        1    0.000    0.000    0.000    0.000 __init__.py:818(IntEnum)
        1    0.000    0.000    0.000    0.000 __init__.py:820(StreamHandler)
        1    0.002    0.002    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:89(_ensure_pynumpy)
        1    0.000    0.000    0.000    0.000 __init__.py:891(FileHandler)
        6    0.000    0.000    0.000    0.000 __init__.py:92(<lambda>)
        6    0.000    0.000    0.000    0.000 __init__.py:93(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:94(_EnumDict)
        1    0.000    0.000    0.000    0.000 __init__.py:963(PlaceHolder)
        9    0.000    0.000    0.000    0.000 _abcoll.py:548(update)
        1    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _datasource.py:154(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:50(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:504(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:33(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:45(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:56(_NoValue)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _import_tools.py:340(PackageLoaderDebug)
        1    0.000    0.000    0.000    0.000 _import_tools.py:9(PackageLoader)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        7    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        5    0.000    0.000    0.000    0.000 _inspect.py:145(<lambda>)
       60    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       43    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       43    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       38    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 _internal.py:200(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:219(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 _internal.py:226(_ctypes)
        1    0.001    0.001    0.003    0.003 _internal.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:631(TooHardError)
        1    0.000    0.000    0.000    0.000 _iotools.py:154(LineSplitter)
        1    0.000    0.000    0.000    0.000 _iotools.py:250(NameValidator)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:444(ConverterError)
        1    0.000    0.000    0.000    0.000 _iotools.py:452(ConverterLockError)
        1    0.000    0.000    0.000    0.000 _iotools.py:460(ConversionWarning)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:10(NameScope)
        1    0.000    0.000    0.000    0.000 _utils.py:11(__init__)
        1    0.000    0.000    0.000    0.000 _utils.py:38(_StrCaching)
        1    0.000    0.000    0.000    0.000 _utils.py:48(_StringReferenceCaching)
        1    0.000    0.000    0.000    0.000 _utils.py:58(_HasMetadata)
        1    0.000    0.000    0.000    0.000 _utils.py:6(DuplicatedNameError)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        3    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:9(get_versions)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
      452    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       46    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      197    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      117    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       15    0.000    0.000    0.000    0.000 abc.py:105(register)
  112/107    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       67    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
      145    0.001    0.000    0.005    0.000 abc.py:86(__new__)
      224    0.000    0.000    0.001    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.015    0.015 abstract.py:1(<module>)
       54    0.000    0.000    0.000    0.000 abstract.py:107(__repr__)
14983/14962    0.005    0.000    0.007    0.000 abstract.py:110(__hash__)
2267/2260    0.001    0.000    0.001    0.000 abstract.py:113(__eq__)
     2213    0.001    0.000    0.002    0.000 abstract.py:116(__ne__)
        1    0.000    0.000    0.000    0.000 abstract.py:212(Dummy)
        1    0.000    0.000    0.000    0.000 abstract.py:219(Hashable)
      178    0.000    0.000    0.000    0.000 abstract.py:22(_autoincr)
        1    0.000    0.000    0.000    0.000 abstract.py:225(Number)
        1    0.000    0.000    0.000    0.000 abstract.py:244(Callable)
        1    0.000    0.000    0.000    0.000 abstract.py:263(DTypeSpec)
        1    0.000    0.000    0.000    0.000 abstract.py:276(IterableType)
        1    0.000    0.000    0.000    0.000 abstract.py:288(Sized)
        1    0.000    0.000    0.000    0.000 abstract.py:294(ConstSized)
        1    0.000    0.000    0.000    0.000 abstract.py:303(IteratorType)
        6    0.000    0.000    0.000    0.000 abstract.py:309(__init__)
        1    0.000    0.000    0.000    0.000 abstract.py:325(Container)
        1    0.000    0.000    0.000    0.000 abstract.py:331(Sequence)
        1    0.000    0.000    0.000    0.000 abstract.py:338(MutableSequence)
